title,price,currency,price_uf,price_clp,first_seen_price,uf_per_m2,zona_uf_m2,bedrooms,bedrooms_n,bathrooms,bathrooms_n,m2,m2_utiles,seller,tienda_oficial,location,barrio,property_kind,operation,property_type,comuna,listing_id,source,publicado_hace,publicado_fecha_est,first_seen_date,last_seen_date,days_published,delisted_date,url,parking,gastos_comunes_clp,enriched_date,bodegas,antiguedad_anos,m2_totales,m2_terraza,piso_unidad,pisos_edificio,deptos_por_piso,orientacion,lat,lng,finished_date
Venta Dpto Stgo Centro 2d 1b - 62m2 - 2190uf,2190,CLF,2190.0,89519338.0,2190.0,36.5,51.0,2 dormitorios,2.0,1 baño,1.0,60 m² útiles,60.0,,False,"General Mackenna, 1100-1200, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC2215975113,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215975113-venta-dpto-stgo-centro-2d-1b-62m2-2190uf-_JM,0.0,130000.0,2026-09-03,0.0,21.0,62.0,2.0,17.0,2.0,,S,-33.4331554,-70.6546297,
Departamento Remodelado San Antonio Metro Plaza De Armas,84000000,CLP,2055.0,84000000.0,84000000.0,36.7,53.0,1 dormitorio,1.0,1 baño,1.0,56 m² útiles,56.0,,False,"San Antonio, Santiago, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4443912772,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443912772-departamento-remodelado-san-antonio-metro-plaza-de-armas-_JM,0.0,75000.0,2026-09-03,0.0,0.0,56.0,,2.0,12.0,10.0,P,-33.4382165,-70.6483338,
Departamento En Venta En Santiago Centro,67000000,CLP,1639.1,67000000.0,67000000.0,39.03,74.0,,,1 baño,1.0,42 m² útiles,42.0,,False,"Lord Cochrane, Parque Almagro, Santiago",Parque Almagro,usada,venta,departamento,santiago-metropolitana,MLC4445107602,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445107602-departamento-en-venta-en-santiago-centro-_JM,0.0,75000.0,2026-09-03,0.0,0.0,42.0,,6.0,,,,-33.4593033,-70.6533313,
"Dpto Adjudicado José Miguel De La Barra, Barrio Bellas Artes",7399,CLF,7399.0,302444558.0,7399.0,39.15,,9 dormitorios,9.0,2 baños,2.0,189 m² útiles,189.0,,False,"José Miguel De La Barra 508, Santiago, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC2214552957,portalinmobiliario,,,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2214552957-dpto-adjudicado-jose-miguel-de-la-barra-barrio-bellas-artes-_JM,,,,,,,,,,,,,,
Departamento Metro Matta Hospital San Borja Arriarán,69700000,CLP,1705.1,69700000.0,69700000.0,39.65,82.0,3 dormitorios,3.0,1 baño,1.0,43 m² útiles,43.0,,False,"Víctor Manuel 1200 - 1500, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,usada,venta,departamento,santiago-metropolitana,MLC4443892314,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443892314-departamento-metro-matta-hospital-san-borja-arriaran-_JM,0.0,70000.0,2026-09-03,0.0,,47.0,4.0,,11.0,,,-33.4632858,-70.6414421,
"Excelente Oportunidad! Dpto. 1 Dorm., 1 Estac. Y 1 Bodega",93000000,CLP,2275.2,93000000.0,93000000.0,39.92,53.0,1 dormitorio,1.0,1 baño,1.0,57 m² útiles,57.0,,False,"Catedral 1330, Santiago, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4444273808,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4444273808-excelente-oportunidad-dpto-1-dorm-1-estac-y-1-bodega-_JM,1.0,100000.0,2026-09-03,1.0,20.0,57.0,,20.0,24.0,6.0,NP,-33.438046,-70.6560969,
Venta Departamento Cerca De Parques 3d 2b Santiago,2730,CLF,2730.0,111592599.0,2730.0,40.75,54.0,3 dormitorios,3.0,2 baños,2.0,67 m² útiles,67.0,,False,"San Francisco, 350, San Diego, Santiago",San Diego,usada,venta,departamento,santiago-metropolitana,MLC2214536793,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2214536793-venta-departamento-cerca-de-parques-3d-2b-santiago-_JM,0.0,50000.0,2026-09-03,0.0,23.0,70.0,,18.0,9.0,,P,-33.4492951,-70.6470031,
Barrio Victoria (116082),1650,CLF,1650.0,67446076.0,1650.0,41.25,74.0,2 dormitorios,2.0,1 baño,1.0,40 m² útiles,40.0,,False,"San Diego, Parque O'Higgins, Santiago",Parque O'Higgins,usada,venta,departamento,santiago-metropolitana,MLC4445106822,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445106822-barrio-victoria-116082-_JM,1.0,70000.0,2026-09-03,0.0,10.0,42.0,2.0,18.0,20.0,11.0,O,-33.4629873,-70.6488226,
Oportunoidad Céntrico Depto 3d 2b,3300,CLF,3300.0,134892153.0,3300.0,41.77,55.0,3 dormitorios,3.0,2 baños,2.0,79 m² útiles,79.0,,False,"Huerfanos, 1200 - 1500, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4443913450,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443913450-oportunoidad-centrico-depto-3d-2b-_JM,1.0,4.0,2026-09-03,1.0,20.0,79.0,,,,,,-33.4402855,-70.6587126,
"Oportunidad, Precio Imbatible, Por Apuro, Urgente",1170,CLF,1170.0,47825400.0,1170.0,41.79,,1 dormitorio,1.0,1 baño,1.0,28 m² útiles,28.0,,False,"San Martín 600 - 900, Santiago, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4445089174,portalinmobiliario,hace 38 días,2026-07-27,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445089174-oportunidad-precio-imbatible-por-apuro-urgente-_JM,0.0,,2026-09-03,0.0,15.0,28.0,,15.0,18.0,7.0,O,-33.4355094,-70.6587377,
