title,price_uf,price_clp,m2_utiles,uf_per_m2,zona_uf_m2,bedrooms_n,parking,gastos_comunes_clp,comuna,barrio,first_seen_date,publicado_fecha_est,url
Departamento En Venta De 3 Dorm. En Santiago,1600.0,65408576.0,49.0,32.65,72.0,3.0,1.0,80000.0,Santiago,Franklin - Biobío,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441913752-departamento-en-venta-de-3-dorm-en-santiago-_JM
Departamento 2 Dormitorios En Condominio Cerrado. Santiago,1800.0,73584648.0,55.0,32.73,47.0,2.0,0.0,55000.0,Santiago,Parque Los Reyes,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-4428241946-departamento-2-dormitorios-en-condominio-cerrado-santiago-_JM
"Venta Depa 2 Dorm 1 Baño Zenteno, Santiago",1490.0,60911736.0,45.0,33.11,72.0,2.0,0.0,0.0,Santiago,Parque O'Higgins,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-4430068580-venta-depa-2-dorm-1-bano-zenteno-santiago-_JM
"Toesca, Bascuñan Con Terraza",2027.9,82900000.0,61.0,33.24,48.0,3.0,0.0,160000.0,Santiago,Meiggs,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-2193319145-toesca-bascunan-con-terraza-_JM
Departamento General Bulnes Id: 163723,2201.5,90000000.0,66.0,33.36,47.0,3.0,0.0,0.0,Santiago,Parque Los Reyes,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219775951-departamento-general-bulnes-id-163723-_JM
Venta Departamento 2d Y 2b Cerca De Futura Metro Línea 7,1775.0,72562639.0,53.0,33.49,47.0,2.0,0.0,90000.0,Santiago,Parque Los Reyes,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219768935-venta-departamento-2d-y-2b-cerca-de-futura-metro-linea-7-_JM
Único 3 Dormitorios + Bodega Metro Rondizzoni (166664),1450.0,59276522.0,43.0,33.72,72.0,3.0,0.0,80000.0,Santiago,Parque O'Higgins,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419209280-unico-3-dormitorios-bodega-metro-rondizzoni-166664-_JM
Oportunidad  En El Corazón De Santiago Venta O Arriendo,2030.3,83000000.0,60.0,33.84,48.0,2.0,0.0,70000.0,Santiago,Barrio Brasil,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419782700-oportunidad-en-el-corazon-de-santiago-venta-o-arriendo-_JM
Acogedor Departamento 2d Con Vista Despejada En Santiago,1663.4,68000000.0,49.0,33.95,74.0,2.0,0.0,61000.0,Santiago,Parque O'Higgins,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-2211365947-acogedor-departamento-2d-con-vista-despejada-en-santiago-_JM
Departamento Remodelado 2d1b Centro Historico,1541.0,62996635.0,45.0,34.24,71.0,2.0,0.0,90000.0,Santiago,Centro Histórico De Santiago,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189298379-departamento-remodelado-2d1b-centro-historico-_JM
Vendo Departamento  3dorm 2ba Santiago Centro,2397.2,98000000.0,70.0,34.25,53.0,3.0,0.0,85000.0,Santiago,Centro Histórico De Santiago,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430690090-vendo-departamento-3dorm-2ba-santiago-centro-_JM
Real Oportunidad  2.450 Uf  71 M2  3 Dormitorios / 2 Baño,2450.0,100156882.0,71.0,34.51,54.0,3.0,1.0,45000.0,Santiago,Parque Almagro,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4434841762-real-oportunidad-2450-uf-71-m2-3-dormitorios-2-bano-_JM
"Departamento 3d,2b, Estacionamiento",2421.7,99000000.0,70.0,34.6,47.0,3.0,1.0,95000.0,Santiago,Parque Los Reyes,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-2215981523-departamento-3d2b-estacionamiento-_JM
"Oportunidad Depto 3d 2b, Cueto 1221, Santiago",2079.2,85000000.0,60.0,34.65,47.0,3.0,0.0,0.0,Santiago,Parque Los Reyes,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-4428252464-oportunidad-depto-3d-2b-cueto-1221-santiago-_JM
Oportunidad Venta Dpto Inversión,1320.9,54000000.0,38.0,34.76,66.0,2.0,0.0,60000.0,Santiago,Barrio Yungay,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189299553-oportunidad-venta-dpto-inversion-_JM
Departamento Arturo Prat (104322),1465.3,59900000.0,42.0,34.89,74.0,1.0,0.0,30000.0,Santiago,Bulnes,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4422465716-departamento-arturo-prat-104322-_JM
Vendo Departamento | Santiago | San Diego,1580.0,64590969.0,45.0,35.11,72.0,2.0,1.0,75000.0,Santiago,Parque O'Higgins,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4443915884-vendo-departamento-santiago-san-diego-_JM
Departamento General Bulnes Id: 135630,2003.4,81900000.0,57.0,35.15,47.0,2.0,0.0,27000.0,Santiago,Parque Los Reyes,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4423667550-departamento-general-bulnes-id-135630-_JM
Excelente Inversión En Pleno Centro (160833),2397.2,98000000.0,68.0,35.25,53.0,3.0,0.0,0.0,Santiago,Barrio Brasil,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419427990-excelente-inversion-en-pleno-centro-160833-_JM
Oportunidad Venta Depto 3d2b+est+bod Cerca Metro Franklin,2300.0,94024828.0,65.0,35.38,54.0,3.0,1.0,100000.0,Santiago,Franklin - Biobío,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-4405955940-oportunidad-venta-depto-3d2bestbod-cerca-metro-franklin-_JM
Teatinos Piso De Parquet,3326.8,136000000.0,94.0,35.39,56.0,3.0,0.0,120000.0,Santiago,Centro Histórico De Santiago,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4414850548-teatinos-piso-de-parquet-_JM
Hermoso Depto 3d Y Estacionmiento En Nataniel Cox,1736.8,71000000.0,49.0,35.44,72.0,3.0,1.0,70000.0,Santiago,Franklin - Biobío,2026-09-02,2026-09-03,https://www.portalinmobiliario.com/MLC-2211622281-hermoso-depto-3d-y-estacionmiento-en-nataniel-cox-_JM
Departamento En Venta De 2 Dorm. En Santiago,1956.9,80000000.0,55.0,35.58,51.0,2.0,0.0,96000.0,Santiago,Parque Los Reyes,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4411470800-departamento-en-venta-de-2-dorm-en-santiago-_JM
Oportunidad Departamento En Venta De 3 Dorm. En Santiago,2421.7,99000000.0,68.0,35.61,53.0,3.0,0.0,40000.0,Santiago,Barrio Brasil,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4437064000-oportunidad-departamento-en-venta-de-3-dorm-en-santiago-_JM
Depto 2 Dormitorios 2 Baños Vista Despejada Parque Los Reyes,2137.0,87361329.0,60.0,35.62,47.0,2.0,0.0,0.0,Santiago,Parque Los Reyes,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-4428251344-depto-2-dormitorios-2-banos-vista-despejada-parque-los-reyes-_JM
"En Venta 3 Dorm, 2 Baños, Bodega. Santa Isabel / San Isidro",2400.0,98112864.0,67.0,35.82,,3.0,0.0,,Santiago,Santa Isabel,2026-09-02,2026-09-03,https://www.portalinmobiliario.com/MLC-4441828212-en-venta-3-dorm-2-banos-bodega-santa-isabel-san-isidro-_JM
Inversión Segura En Entorno Privilegiado (177305),1900.0,77672684.0,53.0,35.85,65.0,2.0,0.0,80000.0,Santiago,Barrio Diez De Julio,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-2205295335-inversion-segura-en-entorno-privilegiado-177305-_JM
Oportunidad Para Invertir En Santiago,1399.0,57191624.0,39.0,35.87,74.0,2.0,0.0,55000.0,Santiago,Parque O'Higgins,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430391272-oportunidad-para-invertir-en-santiago-_JM
"¡oportunidad! 2d &#43; 1b &#43; Bodega, Zenteno, Santiago Ce",1443.2,59000000.0,40.0,36.08,72.0,2.0,0.0,70000.0,Santiago,Parque O'Higgins,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2196882833-oportunidad-2d-43-1b-43-bodega-zenteno-santiago-ce-_JM
San Antonio / Monjitas / Metro Bellas Artes,1300.0,53144468.0,36.0,36.11,73.0,1.0,0.0,70000.0,Santiago,Centro Histórico De Santiago,2026-08-25,,https://www.portalinmobiliario.com/MLC-4396273766-san-antonio-monjitas-metro-bellas-artes-_JM
Departamento En Venta De 3 Dorm. En Santiago,2890.0,118144240.0,80.0,36.12,55.0,3.0,0.0,0.0,Santiago,Parque O'Higgins,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2196894795-departamento-en-venta-de-3-dorm-en-santiago-_JM
Departamento Libertad Id: 158886,2320.0,94842435.0,64.0,36.25,47.0,3.0,0.0,65000.0,Santiago,Parque Los Reyes,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4422153388-departamento-libertad-id-158886-_JM
Gran Oportunidad Depto 3d/2b Metro Ñuble,2000.0,81760720.0,55.0,36.36,,3.0,0.0,,Santiago,Bogotá - Sierra Bella,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4444351676-gran-oportunidad-depto-3d2b-metro-nuble-_JM
