title,price_uf,price_clp,m2_utiles,uf_per_m2,zona_uf_m2,bedrooms_n,parking,gastos_comunes_clp,comuna,barrio,first_seen_date,publicado_fecha_est,url
Departamento En Venta De 3 Dorm. En Santiago,3546.9,145000000.0,67.0,52.94,54.0,3.0,1.0,0.0,Santiago,Bulnes,2026-09-02,2026-09-03,https://www.portalinmobiliario.com/MLC-2211797407-departamento-en-venta-de-3-dorm-en-santiago-_JM
Departamento Vendo Santiago Portugal 1hab 1bañ,1800.0,73584648.0,34.0,52.94,82.0,1.0,0.0,50000.0,Santiago,Santa Isabel,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4411451214-departamento-vendo-santiago-portugal-1hab-1ban-_JM
Departamento 1d1b En Santiago Centro,1800.0,73584648.0,34.0,52.94,74.0,2.0,1.0,80000.0,Santiago,San Diego,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4417706568-departamento-1d1b-en-santiago-centro-_JM
Metro Moneda Depto 2d 1b Terraza  Piso 12 Vista Norte,2490.0,101792096.0,47.0,52.98,74.0,2.0,0.0,95000.0,Santiago,Bulnes,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419779118-metro-moneda-depto-2d-1b-terraza-piso-12-vista-norte-_JM
Departamento Amunátegui Id: 120800,2650.0,108332954.0,50.0,53.0,73.0,2.0,0.0,90000.0,Santiago,Centro Histórico De Santiago,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441925458-departamento-amunategui-id-120800-_JM
Departamento En Venta De 2 Dorm. En Santiago,2226.0,91000000.0,42.0,53.0,74.0,2.0,0.0,80000.0,Santiago,Ejército - Toesca,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4445107432-departamento-en-venta-de-2-dorm-en-santiago-_JM
Departamento 1 Dormitorio Metro Cummnig Santiago,1590.0,65000000.0,30.0,53.0,66.0,1.0,0.0,60000.0,Santiago,Barrio Yungay,2026-08-27,,https://www.portalinmobiliario.com/MLC-4411446598-departamento-1-dormitorio-metro-cummnig-santiago-_JM
Se Vende Depto 1dor 1baño Metro Bellas Artes Se Reciben Ofer,1590.0,65000000.0,30.0,53.0,73.0,,0.0,680000.0,Santiago,Centro Histórico De Santiago,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-2214551587-se-vende-depto-1dor-1bano-metro-bellas-artes-se-reciben-ofer-_JM
Departamento En Venta De 1 Dorm. 1 Baño En Santiago,1750.0,71540630.0,33.0,53.03,73.0,1.0,0.0,70000.0,Santiago,Centro Histórico De Santiago,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441914356-departamento-en-venta-de-1-dorm-1-bano-en-santiago-_JM
Metro Sta Isabel Cocina Cerrada/terraza,3450.0,141037242.0,65.0,53.08,65.0,2.0,0.0,80000.0,Santiago,Santa Isabel,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4410876512-metro-sta-isabel-cocina-cerradaterraza-_JM
Venta Departamento 1hab 1ba Santiago,2124.0,86829885.0,40.0,53.1,74.0,1.0,1.0,0.0,Santiago,San Diego,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2212104519-venta-departamento-1hab-1ba-santiago-_JM
"Venta  Depto 2d, 2b, Estacionamiento, Bodega Metro Sta Rosa",3400.0,138993224.0,64.0,53.12,54.0,2.0,1.0,0.0,Santiago,San Diego,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2213108009-venta-depto-2d-2b-estacionamiento-bodega-metro-sta-rosa-_JM
"Oportunidad Unica, 2 Bodegas Y 1 Estacionamiento",2550.0,104244918.0,48.0,53.12,74.0,2.0,1.0,100000.0,Santiago,San Diego,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-2205815929-oportunidad-unica-2-bodegas-y-1-estacionamiento-_JM
Departamento En Venta De 2 Dorm. En Santiago,2764.2,113000000.0,52.0,53.16,54.0,2.0,0.0,80000.0,Santiago,Bulnes,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4414849740-departamento-en-venta-de-2-dorm-en-santiago-_JM
Depto Estudio - Cerro Santa Lucía,1223.1,50000000.0,23.0,53.18,73.0,1.0,0.0,60000.0,Santiago,Centro Histórico De Santiago,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-2215982801-depto-estudio-cerro-santa-lucia-_JM
"Depto 2dormitorios,1 Baño, Estacionamiento, Bodega Oferta!",2500.0,102200900.0,47.0,53.19,74.0,2.0,1.0,140000.0,Santiago,San Diego,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189298663-depto-2dormitorios1-bano-estacionamiento-bodega-oferta-_JM
Departamento En Venta De 2d Liquidacion Bancaria,2181.0,89160065.0,41.0,53.2,,2.0,0.0,,Santiago,Bulnes,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4420579984-departamento-en-venta-de-2d-liquidacion-bancaria-_JM
Oportunidad Inversión 1d 1b Cercano Metros Piso 15,1490.0,60911736.0,28.0,53.21,74.0,1.0,0.0,65000.0,Santiago,Bulnes,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419779046-oportunidad-inversion-1d-1b-cercano-metros-piso-15-_JM
Oportunidad! En Venta Departamento 1 Dormitorio San Isidro,1490.0,60911736.0,28.0,53.21,82.0,1.0,0.0,,Santiago,Santa Isabel,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219765901-oportunidad-en-venta-departamento-1-dormitorio-san-isidro-_JM
Se Vende Hermoso Depto En Santiago 1d+1b  (178623),1599.0,65367696.0,30.0,53.3,66.0,1.0,0.0,50000.0,Santiago,Parque Los Reyes,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441910818-se-vende-hermoso-depto-en-santiago-1d1b-178623-_JM
San Pablo Metro Santa Ana,1599.0,65367696.0,30.0,53.3,71.0,1.0,0.0,45000.0,Santiago,Centro Histórico De Santiago,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4410874740-san-pablo-metro-santa-ana-_JM
Departamento A Pasos Metro Irarrazabal,2026.0,82823609.0,38.0,53.32,82.0,2.0,0.0,50000.0,Santiago,Bogotá - Sierra Bella,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219204887-departamento-a-pasos-metro-irarrazabal-_JM
Departamento En Venta De 2 Dorm. En Santiago,3200.0,130817152.0,60.0,53.33,54.0,2.0,1.0,90000.0,Santiago,Bulnes,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2195839099-departamento-en-venta-de-2-dorm-en-santiago-_JM
Departamento En Venta | Santiago Uf 1.600 |1d 1b | 31 Mts2,1600.0,65408576.0,30.0,53.33,74.0,1.0,1.0,90000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4409938930-departamento-en-venta-santiago-uf-1600-1d-1b-31-mts2-_JM
Depto 1 Dormitorio Metro Sta Ana (no Estudio) (76357),1600.0,65408576.0,30.0,53.33,71.0,1.0,0.0,60000.0,Santiago,Centro Histórico De Santiago,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2198170333-depto-1-dormitorio-metro-sta-ana-no-estudio-76357-_JM
Rebajado Oportunidad Moderno Departamento 1d/1b,1600.0,65408576.0,30.0,53.33,74.0,1.0,1.0,50000.0,Santiago,San Diego,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-2201813889-rebajado-oportunidad-moderno-departamento-1d1b-_JM
Inversión Ideal: Depto. Bien Conectado (172064),1600.0,65408576.0,30.0,53.33,65.0,1.0,0.0,0.0,Santiago,Parque Los Reyes,2026-08-24,2026-08-24,https://www.portalinmobiliario.com/MLC-4394164654-inversion-ideal-depto-bien-conectado-172064-_JM
"Rebajado , Oportunidad Departamento En Santiago",1600.0,65408576.0,30.0,53.33,74.0,1.0,0.0,50000.0,Santiago,San Diego,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4420576104-rebajado-oportunidad-departamento-en-santiago-_JM
Excelente Oportunidad De Inversión (173296),2400.0,98112864.0,45.0,53.33,74.0,2.0,1.0,55000.0,Santiago,San Diego,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4423667552-excelente-oportunidad-de-inversion-173296-_JM
Departamento Luminoso En El Corazón De Santiago,2400.0,98112864.0,45.0,53.33,82.0,2.0,0.0,105000.0,Santiago,Santa Isabel,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4420578746-departamento-luminoso-en-el-corazon-de-santiago-_JM
Venta Comodo Dpto 1d 1b (138138),1600.0,65408576.0,30.0,53.33,71.0,1.0,0.0,65000.0,Santiago,Centro Histórico De Santiago,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4422155430-venta-comodo-dpto-1d-1b-138138-_JM
"Oportunidad 1hab+1bañ, Piso 8, Metro P. Ohiggins",1600.0,65408576.0,30.0,53.33,72.0,1.0,0.0,40000.0,Santiago,Parque O'Higgins,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4421816218-oportunidad-1hab1ban-piso-8-metro-p-ohiggins-_JM
Condominio Estilo Frances Al Mejor Precio!! (161718),1761.2,72000000.0,33.0,53.37,82.0,1.0,0.0,70000.0,Santiago,Santa Isabel,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-2207059225-condominio-estilo-frances-al-mejor-precio-161718-_JM
Departamento  Excelente Para Inversion,1443.2,59000000.0,27.0,53.45,71.0,1.0,0.0,55000.0,Santiago,Centro Histórico De Santiago,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-2211365323-departamento-excelente-para-inversion-_JM
"Depto 1d/1b, 29 M² /portugal 810,conectividad (162276)",1550.0,63364558.0,29.0,53.45,82.0,1.0,0.0,60000.0,Santiago,Barrio Diez De Julio,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219750541-depto-1d1b-29-m-portugal-810conectividad-162276-_JM
Parque O´higgins (119902),1550.0,63364558.0,29.0,53.45,72.0,1.0,0.0,50000.0,Santiago,Parque O'Higgins,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2191879625-parque-ohiggins-119902-_JM
"Departamento Venta/arriendo 1d/1b Metro Uc, Portugal 564",1550.0,63364558.0,29.0,53.45,82.0,1.0,0.0,50000.0,Santiago,Santa Isabel,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-4404093274-departamento-ventaarriendo-1d1b-metro-uc-portugal-564-_JM
Excelente 2d1b Con Terraza En Santiago,2352.0,96150607.0,44.0,53.45,74.0,2.0,1.0,85000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2195794469-excelente-2d1b-con-terraza-en-santiago-_JM
Excelente 2d1b Con Terraza En Santiago,2352.0,96150607.0,44.0,53.45,74.0,2.0,1.0,85000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2195833183-excelente-2d1b-con-terraza-en-santiago-_JM
Departamento En Venta 2d 1b (115991),2138.0,87402210.0,40.0,53.45,73.0,2.0,0.0,80000.0,Santiago,Centro Histórico De Santiago,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441940142-departamento-en-venta-2d-1b-115991-_JM
Venta De Departamento 1 Dorm. En Santiago,1390.0,56823700.0,26.0,53.46,74.0,1.0,0.0,65000.0,Santiago,San Diego,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-2204133495-venta-de-departamento-1-dorm-en-santiago-_JM
Oportunidad Inversionistas  Dptos Tipo Estudio En Venta Stgo,1230.0,50282843.0,23.0,53.48,82.0,1.0,0.0,57000.0,Santiago,Barrio Diez De Julio,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4432306200-oportunidad-inversionistas-dptos-tipo-estudio-en-venta-stgo-_JM
"Los Heroes, La Moneda, Estacionamiento, Bodega, Lavadora",2300.0,94024828.0,43.0,53.49,73.0,2.0,1.0,80000.0,Santiago,Centro Histórico De Santiago,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-2207900221-los-heroes-la-moneda-estacionamiento-bodega-lavadora-_JM
Oportunidad C/ Estacionamiento De 1d-1b Ideal Para Inversión,1498.0,61238779.0,28.0,53.5,72.0,1.0,1.0,0.0,Santiago,Parque O'Higgins,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4440981342-oportunidad-c-estacionamiento-de-1d-1b-ideal-para-inversion-_JM
Dpto Bellas Artes  Santo Domingo Miraflores,1980.0,80943113.0,37.0,53.51,73.0,1.0,1.0,75000.0,Santiago,Centro Histórico De Santiago,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4433821308-dpto-bellas-artes-santo-domingo-miraflores-_JM
Departamento En Venta Las Condes |ureta Bravo Propiedades|,2568.5,105000000.0,48.0,53.51,118.0,2.0,0.0,0.0,Las Condes,Colón Oriente - Vital Apoquindo,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419778292-departamento-en-venta-las-condes-ureta-bravo-propiedades-_JM
Departamento En Venta De 1 Dorm. En Santiago Frente A Mega,1766.0,72194716.0,33.0,53.52,82.0,1.0,0.0,70000.0,Santiago,Bogotá - Sierra Bella,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4443909188-departamento-en-venta-de-1-dorm-en-santiago-frente-a-mega-_JM
Departamento En Venta De 2 Dorm. En Santiago,3000.0,122641080.0,56.0,53.57,54.0,2.0,0.0,85000.0,Santiago,Franklin - Biobío,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4449860420-departamento-en-venta-de-2-dorm-en-santiago-_JM
"Uf 1.500 Vendo Depto 28m2, Vista Oriente Metro Sta Isabel.",1500.0,61320540.0,28.0,53.57,82.0,1.0,0.0,50000.0,Santiago,Santa Isabel,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2211376693-uf-1500-vendo-depto-28m2-vista-oriente-metro-sta-isabel-_JM
Sector Metro Santa Lucia  Departamento Ideal Renta Corta,2250.0,91980810.0,42.0,53.57,82.0,1.0,1.0,100000.0,Santiago,Santa Isabel,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2211797901-sector-metro-santa-lucia-departamento-ideal-renta-corta-_JM
Venta Depto. Con Excelente Conectividad  (154552),2250.0,91980810.0,42.0,53.57,74.0,2.0,1.0,100000.0,Santiago,Bulnes,2026-08-26,2026-08-26,https://www.portalinmobiliario.com/MLC-4405924386-venta-depto-con-excelente-conectividad-154552-_JM
"Inversión Ideal, Edificio Año 2011 (180886)",1500.0,61320540.0,28.0,53.57,71.0,1.0,1.0,56000.0,Santiago,Centro Histórico De Santiago,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430073438-inversion-ideal-edificio-ano-2011-180886-_JM
Departamento Vicuña Mackenna Id: 89213,2250.0,91980810.0,42.0,53.57,82.0,2.0,0.0,60000.0,Santiago,Bogotá - Sierra Bella,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441938216-departamento-vicuna-mackenna-id-89213-_JM
Home Studio En El Mejor Sector Del Centro De Santiago,1394.3,57000000.0,26.0,53.63,74.0,,0.0,40000.0,Santiago,Ejército - Toesca,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-2211369475-home-studio-en-el-mejor-sector-del-centro-de-santiago-_JM
3d2b  Termopanel Tranquilo Departamento,3057.7,125000000.0,57.0,53.64,65.0,3.0,0.0,140000.0,Santiago,Santa Isabel,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4439734590-3d2b-termopanel-tranquilo-departamento-_JM
Departamento En Venta En Santiago,2200.0,89936792.0,41.0,53.66,82.0,2.0,1.0,55000.0,Santiago,San Diego,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2195809261-departamento-en-venta-en-santiago-_JM
Departamento 2d2b En Santiago Con Excelente Conectividad,2845.0,116304624.0,53.0,53.68,65.0,2.0,0.0,80000.0,Santiago,Santa Isabel,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-2203499623-departamento-2d2b-en-santiago-con-excelente-conectividad-_JM
Venta Departamento 1hab 1ba 1e Santiago,1720.0,70314219.0,32.0,53.75,68.0,1.0,1.0,85000.0,Santiago,Barrio República,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4447148738-venta-departamento-1hab-1ba-1e-santiago-_JM
Un Oasis En Santiago Te Espera (181080),2150.0,87892774.0,40.0,53.75,74.0,1.0,0.0,70000.0,Santiago,Bulnes,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2211616569-un-oasis-en-santiago-te-espera-181080-_JM
Departamento Amoblado En Venta En Santiago Centro,2580.0,105471329.0,48.0,53.75,73.0,2.0,0.0,75000.0,Santiago,Centro Histórico De Santiago,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219776873-departamento-amoblado-en-venta-en-santiago-centro-_JM
Departamento En Venta En Santiago,2150.0,87892774.0,40.0,53.75,68.0,2.0,0.0,0.0,Santiago,Barrio República,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4414858412-departamento-en-venta-en-santiago-_JM
Depto 2d 2b Y Bodega Barrio República,2688.0,109886408.0,50.0,53.76,68.0,2.0,0.0,95000.0,Santiago,Barrio República,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2198168287-depto-2d-2b-y-bodega-barrio-republica-_JM
Depa De 2 D En Barrio República! (126901),2850.0,116509026.0,53.0,53.77,48.0,2.0,1.0,138000.0,Santiago,Barrio República,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4423670446-depa-de-2-d-en-barrio-republica-126901-_JM
Departamento San Diego Id: 89500,2420.0,98930471.0,45.0,53.78,74.0,2.0,0.0,70000.0,Santiago,Parque O'Higgins,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-2207170839-departamento-san-diego-id-89500-_JM
Venta Depto. 2d1b | Santiago Centro (177116),2690.0,109968168.0,50.0,53.8,,2.0,0.0,55000.0,Santiago,Santa Isabel,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4419362586-venta-depto-2d1b-santiago-centro-177116-_JM
Departamento En Venta De 2 Dorm. En Santiago,2800.0,114465008.0,52.0,53.85,,2.0,0.0,,Santiago,Bogotá - Sierra Bella,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4414843160-departamento-en-venta-de-2-dorm-en-santiago-_JM
"Oportunidad Se Vende Depto 2 Dorm, Estc Y Bodega",2100.0,85848756.0,39.0,53.85,74.0,2.0,1.0,100000.0,Santiago,San Diego,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430393912-oportunidad-se-vende-depto-2-dorm-estc-y-bodega-_JM
Vergara | 42m2 | 1d+1b | Bodega | Metro Toesca | Climatizado,2100.0,85848756.0,39.0,53.85,74.0,1.0,0.0,100000.0,Santiago,Ejército - Toesca,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4430073836-vergara-42m2-1d1b-bodega-metro-toesca-climatizado-_JM
Luminoso Y Práctico Departamento 2d 2b (172234),2749.0,112380110.0,51.0,53.9,74.0,2.0,0.0,120000.0,Santiago,Ejército - Toesca,2026-08-24,2026-08-24,https://www.portalinmobiliario.com/MLC-4394164102-luminoso-y-practico-departamento-2d-2b-172234-_JM
"Venta Bello Depto. 2d, 2b, 1e, 1bod. Santiago",3290.0,134496384.0,61.0,53.93,54.0,2.0,1.0,80000.0,Santiago,Parque Almagro,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2191067869-venta-bello-depto-2d-2b-1e-1bod-santiago-_JM
Departamento En Venta De 3d En Santiago,3236.0,132288845.0,60.0,53.93,,3.0,1.0,,Santiago,Bogotá - Sierra Bella,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441101110-departamento-en-venta-de-3d-en-santiago-_JM
Departamento Libertad Id: 178869,4476.5,183000000.0,83.0,53.93,50.0,3.0,1.0,0.0,Santiago,Barrio Yungay,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4420577310-departamento-libertad-id-178869-_JM
Depto Vta Barrio Yungay Con Patio,4476.5,183000000.0,83.0,53.93,50.0,3.0,1.0,,Santiago,Barrio Yungay,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-2215986983-depto-vta-barrio-yungay-con-patio-_JM
Recuperado Depto 3d 2b Santa Elena 1631 Metro Ñuble Santiago,3236.0,132288845.0,60.0,53.93,61.0,3.0,1.0,,Santiago,Bogotá - Sierra Bella,2026-08-24,2026-08-24,https://www.portalinmobiliario.com/MLC-2187633317-recuperado-depto-3d-2b-santa-elena-1631-metro-nuble-santiago-_JM
En Venta Depto 1d-1b Cerca De Metro (99675),1780.0,72767041.0,33.0,53.94,82.0,1.0,0.0,60000.0,Santiago,Bogotá - Sierra Bella,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-4441927876-en-venta-depto-1d-1b-cerca-de-metro-99675-_JM
Departamento En Venta De 3 Dormitorios Amoblado,3669.2,150000000.0,68.0,53.96,,3.0,1.0,,Santiago,Centro Histórico De Santiago,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4437279236-departamento-en-venta-de-3-dormitorios-amoblado-_JM
Como Nuevo Año 2019 Estilo Mariposa Excelente Precio,2700.0,110376972.0,50.0,54.0,71.0,2.0,0.0,0.0,Santiago,Centro Histórico De Santiago,2026-08-30,2026-08-30,https://www.portalinmobiliario.com/MLC-2205435561-como-nuevo-ano-2019-estilo-mariposa-excelente-precio-_JM
Venta Dpto. 2d  2b Estac Y Bodega A Pasos Metro Sta Lucia,2700.0,110376972.0,50.0,54.0,82.0,2.0,1.0,100000.0,Santiago,Santa Isabel,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189298673-venta-dpto-2d-2b-estac-y-bodega-a-pasos-metro-sta-lucia-_JM
Ideal Inversionista | Estudio 25 M² A 100 M Metro Santa Ana,1350.0,55188486.0,25.0,54.0,73.0,1.0,0.0,60000.0,Santiago,Centro Histórico De Santiago,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4444429240-ideal-inversionista-estudio-25-m-a-100-m-metro-santa-ana-_JM
Metro U De Chile Con Terraza,1620.0,66226183.0,30.0,54.0,74.0,1.0,0.0,45000.0,Santiago,Bulnes,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189061467-metro-u-de-chile-con-terraza-_JM
Venta Departamento 2 Dor 2 Baños 1 Estacionamiento,2700.0,110376972.0,50.0,54.0,66.0,2.0,1.0,100000.0,Santiago,Parque Los Reyes,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4439467304-venta-departamento-2-dor-2-banos-1-estacionamiento-_JM
"¡oportunidad En Santiago: Dpto. 2d Y 1b, Con Estacionamiento",2000.0,81760720.0,37.0,54.05,82.0,2.0,1.0,80000.0,Santiago,Santa Isabel,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-2219753035-oportunidad-en-santiago-dpto-2d-y-1b-con-estacionamiento-_JM
Excelente Depto A Pasos De Metro Santa Lucía  3 Dormitorios,4000.0,163521440.0,74.0,54.05,54.0,3.0,1.0,180000.0,Santiago,San Diego,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4447144386-excelente-depto-a-pasos-de-metro-santa-lucia-3-dormitorios-_JM
Av. Santa Isabel - Av. Portugal,3300.0,134905188.0,61.0,54.1,65.0,2.0,1.0,100000.0,Santiago,Santa Isabel,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4418546232-av-santa-isabel-av-portugal-_JM
"Depto 2d Con 2 Estacionamientos Y Bodega, Stgo",3300.0,134905188.0,61.0,54.1,51.0,2.0,2.0,120000.0,Santiago,Centro Histórico De Santiago,2026-09-05,2026-09-05,https://www.portalinmobiliario.com/MLC-4450264912-depto-2d-con-2-estacionamientos-y-bodega-stgo-_JM
Departamento En Venta En Las Condes,2813.1,115000000.0,52.0,54.1,118.0,3.0,1.0,0.0,Las Condes,El Remanso,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4445081260-departamento-en-venta-en-las-condes-_JM
Se Vende Departamento En Santiago Centro,2490.0,101792096.0,46.0,54.13,68.0,2.0,0.0,66000.0,Santiago,Barrio República,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-2204131731-se-vende-departamento-en-santiago-centro-_JM
Barrio Republica. Impecable Renovado (177689),2490.0,101792096.0,46.0,54.13,68.0,1.0,0.0,80000.0,Santiago,Barrio República,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2211614537-barrio-republica-impecable-renovado-177689-_JM
Carmen Con Argomedo 2 Dormitorios Bodega,2490.0,101792096.0,46.0,54.13,82.0,2.0,0.0,90000.0,Santiago,Barrio Diez De Julio,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2212113929-carmen-con-argomedo-2-dormitorios-bodega-_JM
Departamento En Venta De 2 Dorm. En Santiago,2870.0,117326633.0,53.0,54.15,65.0,2.0,0.0,190000.0,Santiago,Santiago Centro,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2212118925-departamento-en-venta-de-2-dorm-en-santiago-_JM
Gran Oportunidad De Inversión (81370),1516.6,62000000.0,28.0,54.16,66.0,1.0,0.0,60000.0,Santiago,Barrio Brasil,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4439745536-gran-oportunidad-de-inversion-81370-_JM
Tu Primer Hogar Con Estilo En Barrio Yungay,2600.0,106288936.0,48.0,54.17,66.0,2.0,0.0,120000.0,Santiago,Barrio Yungay,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-4433823786-tu-primer-hogar-con-estilo-en-barrio-yungay-_JM
Calle Santa Isabel (76180),3900.0,159433404.0,72.0,54.17,65.0,3.0,1.0,130000.0,Santiago,Santa Isabel,2026-08-24,2026-08-24,https://www.portalinmobiliario.com/MLC-4394178574-calle-santa-isabel-76180-_JM
"Hermoso Depto 1d 1b, Pasos Metro",1950.0,79716702.0,36.0,54.17,71.0,1.0,0.0,60000.0,Santiago,Centro Histórico De Santiago,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4447996426-hermoso-depto-1d-1b-pasos-metro-_JM
"Departamento 2 Dormitorios San Francisco, Santiago - Vista",2927.0,119656814.0,54.0,54.2,54.0,2.0,0.0,100000.0,Santiago,Bulnes,2026-08-31,2026-08-31,https://www.portalinmobiliario.com/MLC-2206683707-departamento-2-dormitorios-san-francisco-santiago-vista-_JM
Venta Luminoso Departamento En Barrio Civico Santiago,1790.0,73175844.0,33.0,54.24,73.0,1.0,0.0,70000.0,Santiago,Centro Histórico De Santiago,2026-08-28,2026-08-28,https://www.portalinmobiliario.com/MLC-4418517556-venta-luminoso-departamento-en-barrio-civico-santiago-_JM
Jofre Con Est Y Bod,3800.0,155345368.0,70.0,54.29,65.0,3.0,1.0,150000.0,Santiago,Santa Isabel,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-2196959849-jofre-con-est-y-bod-_JM
Venta Dpto Barrio Universitario - Vergara - Almte Latorre,1900.0,77672684.0,35.0,54.29,74.0,2.0,0.0,100000.0,Santiago,Ejército - Toesca,2026-09-04,2026-09-04,https://www.portalinmobiliario.com/MLC-4447143172-venta-dpto-barrio-universitario-vergara-almte-latorre-_JM
Oportunidad De Inversión,1900.0,77672684.0,35.0,54.29,74.0,1.0,0.0,0.0,Santiago,Santiago,2026-09-02,2026-09-02,https://www.portalinmobiliario.com/MLC-2211369831-oportunidad-de-inversion-_JM
